,id,label,type
85,2,Book 2,Book
2015,4,Book 4,Book
2938,5,Book 5,Book
4109,6,Book 6,Book
4859,7,Book 7,Book
5074,8,Book 8,Book
5257,9,Book 9,Book
5479,10,Book 10,Book
5547,11,Book 11,Book
5621,12,Book 12,Book
5907,13,Book 13,Book
6242,15,Book 15,Book
6344,16,Book 16,Book
6506,17,Book 17,Book
6552,18,Book 18,Book
6767,19,Book 19,Book
6927,21,Book 21,Book
7038,22,Book 22,Book
7060,24,Book 24,Book
7242,27,Book 27,Book
7405,31,Book 31,Book
7582,32,Book 32,Book
7654,33,Book 33,Book
7952,34,Book 34,Book
8023,35,Book 35,Book
8356,36,Book 36,Book
8612,37,Book 37,Book
